fund_name,date,nav,daily_return
DSP Midcap Fund,2025-10-09,165.121,
DSP Midcap Fund,2025-10-10,165.252,0.0007933575983671837
DSP Midcap Fund,2025-10-11,165.252,0.0
DSP Midcap Fund,2025-10-12,165.252,0.0
DSP Midcap Fund,2025-10-13,165.529,0.0016762278217510307
DSP Midcap Fund,2025-10-14,164.372,-0.006989711772559359
DSP Midcap Fund,2025-10-15,165.919,0.009411578614362481
DSP Midcap Fund,2025-10-16,166.018,0.0005966766916385424
DSP Midcap Fund,2025-10-17,165.196,-0.004951270344179526
DSP Midcap Fund,2025-10-18,165.196,0.0
DSP Midcap Fund,2025-10-19,165.196,0.0
DSP Midcap Fund,2025-10-20,166.26,0.006440833918496702
DSP Midcap Fund,2025-10-21,166.26,0.0
DSP Midcap Fund,2025-10-22,166.26,0.0
DSP Midcap Fund,2025-10-23,166.223,-0.0002225430049318522
DSP Midcap Fund,2025-10-24,165.605,-0.0037178970419257107
DSP Midcap Fund,2025-10-25,165.605,0.0
DSP Midcap Fund,2025-10-26,165.605,0.0
DSP Midcap Fund,2025-10-27,167.45,0.011140967965943105
DSP Midcap Fund,2025-10-28,167.138,-0.0018632427590324907
DSP Midcap Fund,2025-10-29,167.774,0.0038052387847167246
HDFC Corporate Bond Fund,2025-10-09,33.8816,
HDFC Corporate Bond Fund,2025-10-10,33.8948,0.0003895919909331358
HDFC Corporate Bond Fund,2025-10-11,33.8948,0.0
HDFC Corporate Bond Fund,2025-10-12,33.8948,0.0
HDFC Corporate Bond Fund,2025-10-13,33.9271,0.0009529485348787059
HDFC Corporate Bond Fund,2025-10-14,33.9347,0.0002240097149475151
HDFC Corporate Bond Fund,2025-10-15,33.9593,0.0007249216878297826
HDFC Corporate Bond Fund,2025-10-16,33.964,0.00013840096821793324
HDFC Corporate Bond Fund,2025-10-17,33.9727,0.0002561535743730303
HDFC Corporate Bond Fund,2025-10-18,33.9727,0.0
HDFC Corporate Bond Fund,2025-10-19,33.9727,0.0
HDFC Corporate Bond Fund,2025-10-20,33.9855,0.0003767731148833775
HDFC Corporate Bond Fund,2025-10-21,33.9855,0.0
HDFC Corporate Bond Fund,2025-10-22,33.9855,0.0
HDFC Corporate Bond Fund,2025-10-23,33.9806,-0.00014417913521935777
HDFC Corporate Bond Fund,2025-10-24,33.9696,-0.0003237141192328208
HDFC Corporate Bond Fund,2025-10-25,33.9696,0.0
HDFC Corporate Bond Fund,2025-10-26,33.9696,0.0
HDFC Corporate Bond Fund,2025-10-27,33.9787,0.0002678865809431219
HDFC Corporate Bond Fund,2025-10-28,33.9859,0.0002118974534046636
HDFC Corporate Bond Fund,2025-10-29,33.996,0.0002971820666806124
HDFC Large and Mid Cap Fund,2025-10-09,362.296,
HDFC Large and Mid Cap Fund,2025-10-10,363.633,0.0036903526398304187
HDFC Large and Mid Cap Fund,2025-10-11,363.633,0.0
HDFC Large and Mid Cap Fund,2025-10-12,363.633,0.0
HDFC Large and Mid Cap Fund,2025-10-13,363.108,-0.0014437633548110007
HDFC Large and Mid Cap Fund,2025-10-14,360.77,-0.006438855657270093
HDFC Large and Mid Cap Fund,2025-10-15,364.108,0.009252432297585766
HDFC Large and Mid Cap Fund,2025-10-16,366.234,0.005838926911795328
HDFC Large and Mid Cap Fund,2025-10-17,365.759,-0.001296984987740002
HDFC Large and Mid Cap Fund,2025-10-18,365.759,0.0
HDFC Large and Mid Cap Fund,2025-10-19,365.759,0.0
HDFC Large and Mid Cap Fund,2025-10-20,367.677,0.005243890102499149
HDFC Large and Mid Cap Fund,2025-10-21,367.677,0.0
HDFC Large and Mid Cap Fund,2025-10-22,367.677,0.0
HDFC Large and Mid Cap Fund,2025-10-23,368.161,0.0013163727945995074
HDFC Large and Mid Cap Fund,2025-10-24,367.05,-0.0030177014947264658
HDFC Large and Mid Cap Fund,2025-10-25,367.05,0.0
HDFC Large and Mid Cap Fund,2025-10-26,367.05,0.0
HDFC Large and Mid Cap Fund,2025-10-27,369.618,0.006996322026971757
HDFC Large and Mid Cap Fund,2025-10-28,369.501,-0.0003165430255021029
HDFC Large and Mid Cap Fund,2025-10-29,371.78,0.006167777624417781
ICICI Prudential Balanced Advantage Fund,2025-10-09,84.44,
ICICI Prudential Balanced Advantage Fund,2025-10-10,84.62,0.002131691141639136
ICICI Prudential Balanced Advantage Fund,2025-10-11,84.62,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-12,84.62,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-13,84.57,-0.0005908768612622461
ICICI Prudential Balanced Advantage Fund,2025-10-14,84.48,-0.0010642071656614682
ICICI Prudential Balanced Advantage Fund,2025-10-15,84.87,0.004616477272727293
ICICI Prudential Balanced Advantage Fund,2025-10-16,85.18,0.0036526452221044003
ICICI Prudential Balanced Advantage Fund,2025-10-17,85.33,0.00176097675510678
ICICI Prudential Balanced Advantage Fund,2025-10-18,85.33,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-19,85.33,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-20,85.57,0.002812609867572924
ICICI Prudential Balanced Advantage Fund,2025-10-21,85.57,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-22,85.57,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-23,85.64,0.0008180437069067459
ICICI Prudential Balanced Advantage Fund,2025-10-24,85.59,-0.0005838393274170128
ICICI Prudential Balanced Advantage Fund,2025-10-25,85.59,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-26,85.59,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-27,85.9,0.003621918448416972
ICICI Prudential Balanced Advantage Fund,2025-10-28,85.71,-0.002211874272409875
ICICI Prudential Balanced Advantage Fund,2025-10-29,85.88,0.001983432504958582
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-09,122.56,
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-10,123.07,0.004161227154046987
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-11,123.07,0.0
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-12,123.07,0.0
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-13,122.85,-0.0017876005525310212
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-14,122.46,-0.0031746031746031633
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-15,123.22,0.0062061081169362264
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-16,124.16,0.007628631715630663
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-17,124.71,0.00442976804123707
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-18,124.71,0.0
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-19,124.71,0.0
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-20,125.19,0.0038489295164783055
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-21,125.19,0.0
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-22,125.19,0.0
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-23,125.27,0.0006390286764117459
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-24,124.92,-0.002793965035523205
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-25,124.92,0.0
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-26,124.92,0.0
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-27,125.89,0.007764969580531522
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-28,125.7,-0.0015092541107315505
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-29,126.34,0.005091487669053318
Nippon India Small Cap Fund,2025-10-09,188.5156,
Nippon India Small Cap Fund,2025-10-10,189.4229,0.004812864293459063
Nippon India Small Cap Fund,2025-10-11,189.4229,0.0
Nippon India Small Cap Fund,2025-10-12,189.4229,0.0
Nippon India Small Cap Fund,2025-10-13,188.9801,-0.00233762654884917
Nippon India Small Cap Fund,2025-10-14,187.6021,-0.007291773049119876
Nippon India Small Cap Fund,2025-10-15,188.8273,0.006530843737889924
Nippon India Small Cap Fund,2025-10-16,190.2517,0.007543400768850628
Nippon India Small Cap Fund,2025-10-17,190.2143,-0.00019658168626079942
Nippon India Small Cap Fund,2025-10-18,190.2143,0.0
Nippon India Small Cap Fund,2025-10-19,190.2143,0.0
Nippon India Small Cap Fund,2025-10-20,190.8094,0.003128576558124152
Nippon India Small Cap Fund,2025-10-21,190.8094,0.0
Nippon India Small Cap Fund,2025-10-22,190.8094,0.0
Nippon India Small Cap Fund,2025-10-23,191.8987,0.005708838243818182
Nippon India Small Cap Fund,2025-10-24,191.3376,-0.0029239385154771202
Nippon India Small Cap Fund,2025-10-25,191.3376,0.0
Nippon India Small Cap Fund,2025-10-26,191.3376,0.0
Nippon India Small Cap Fund,2025-10-27,192.1937,0.0044742904687840035
Nippon India Small Cap Fund,2025-10-28,192.1699,-0.00012383340348820493
Nippon India Small Cap Fund,2025-10-29,193.4264,0.00653848495524012
SBI Large & Midcap Fund,2025-10-09,678.0456,
SBI Large & Midcap Fund,2025-10-10,679.7344,0.0024906879419319683
SBI Large & Midcap Fund,2025-10-11,679.7344,0.0
SBI Large & Midcap Fund,2025-10-12,679.7344,0.0
SBI Large & Midcap Fund,2025-10-13,679.5496,-0.00027187089545566145
SBI Large & Midcap Fund,2025-10-14,676.78,-0.004075640689068294
SBI Large & Midcap Fund,2025-10-15,680.3226,0.005234492745057384
SBI Large & Midcap Fund,2025-10-16,685.8874,0.008179648890100033
SBI Large & Midcap Fund,2025-10-17,686.2582,0.000540613517612476
SBI Large & Midcap Fund,2025-10-18,686.2582,0.0
SBI Large & Midcap Fund,2025-10-19,686.2582,0.0
SBI Large & Midcap Fund,2025-10-20,689.1625,0.004232080578417952
SBI Large & Midcap Fund,2025-10-21,689.1625,0.0
SBI Large & Midcap Fund,2025-10-22,689.1625,0.0
SBI Large & Midcap Fund,2025-10-23,692.3686,0.004652168392795586
SBI Large & Midcap Fund,2025-10-24,689.2096,-0.004562598592714906
SBI Large & Midcap Fund,2025-10-25,689.2096,0.0
SBI Large & Midcap Fund,2025-10-26,689.2096,0.0
SBI Large & Midcap Fund,2025-10-27,694.1054,0.007103499428910975
SBI Large & Midcap Fund,2025-10-28,695.6301,0.002196640452588161
SBI Large & Midcap Fund,2025-10-29,697.9784,0.003375788367984578
UTI Nifty 50 Index Fund,2025-10-09,175.7188,
UTI Nifty 50 Index Fund,2025-10-10,176.4404,0.0041065611647701505
UTI Nifty 50 Index Fund,2025-10-11,176.4404,0.0
UTI Nifty 50 Index Fund,2025-10-12,176.4404,0.0
UTI Nifty 50 Index Fund,2025-10-13,176.0328,-0.002310128519318666
UTI Nifty 50 Index Fund,2025-10-14,175.4609,-0.0032488263550883856
UTI Nifty 50 Index Fund,2025-10-15,176.7198,0.007174817865404748
UTI Nifty 50 Index Fund,2025-10-16,178.5452,0.010329346230586456
UTI Nifty 50 Index Fund,2025-10-17,179.4331,0.004972970429896861
UTI Nifty 50 Index Fund,2025-10-18,179.4331,0.0
UTI Nifty 50 Index Fund,2025-10-19,179.4331,0.0
UTI Nifty 50 Index Fund,2025-10-20,180.3751,0.005249867499363292
UTI Nifty 50 Index Fund,2025-10-21,180.3751,0.0
UTI Nifty 50 Index Fund,2025-10-22,180.3751,0.0
UTI Nifty 50 Index Fund,2025-10-23,180.7096,0.0018544688263513187
UTI Nifty 50 Index Fund,2025-10-24,180.0372,-0.0037208869921685483
UTI Nifty 50 Index Fund,2025-10-25,180.0372,0.0
UTI Nifty 50 Index Fund,2025-10-26,180.0372,0.0
UTI Nifty 50 Index Fund,2025-10-27,181.3529,0.0073079341380559715
UTI Nifty 50 Index Fund,2025-10-28,181.144,-0.0011518977639728423
UTI Nifty 50 Index Fund,2025-10-29,181.9645,0.004529545554917469
